lncRNA,DNA Methylation
10561,56606
10564,56776
10565,56937
10567,56938
10576,56956
10581,56978
10585,56995
10608,56996
10627,56998
10629,57057
10636,57094
10641,57101
10643,57118
10644,57128
10658,57152
10659,57167
10664,57172
10671,57210
10713,57224
10733,57348
10742,57369
10745,57459
10763,57469
10783,57491
10791,57507
10794,57509
10795,57512
10802,57521
10816,57526
10818,57537
10825,57626
10848,57642
10849,57663
10850,57666
10873,57689
10914,57699
10919,57709
10926,57711
10948,57822
10960,58530
10963,59269
10964,59283
10973,59335
10978,59336
10991,60494
11000,60495
11005,60529
11059,63827
11068,63876
11070,63910
11075,63934
11076,63950
11078,63976
11086,63978
11095,63982
11105,64067
11107,64087
11135,64094
11136,64211
11146,64218
11165,64221
11186,64321
11187,64344
11213,64359
11218,64377
11240,64409
11245,64581
11258,64718
11281,64843
11284,64902
11331,64919
11334,65080
22797,65263
22806,65266
22809,66004
22818,66037
22821,78989
22827,79054
22864,79148
22865,79180
22872,79191
22874,79192
22891,79317
22911,79644
22918,79651
22920,79673
22978,79674
22980,79718
22998,79776
22999,79778
23020,79848
23046,79852
23047,79884
23053,79891
23072,79912
23075,79947
23080,79986
23081,79998
23093,80008
23112,80012
23151,80022
23181,80070
23193,80119
23209,80128
23246,80213
23248,80274
23250,80305
23255,80307
23263,80309
23265,80329
23266,80347
23271,80352
23285,80712
23303,80725
23318,80774
23334,80781
23338,80824
23366,80863
23381,81327
23382,81442
23384,81552
23397,81553
23400,81578
23405,81603
23410,81628
23414,81792
23424,81796
23426,81832
23433,81849
23464,81856
23468,83480
23484,83541
23499,83696
23504,83698
23513,83714
23534,83715
23542,83741
23547,83756
23557,83872
23576,83943
23584,84033
23594,84054
23608,84107
23616,84109
23636,84176
23658,84231
23670,84254
23769,84262
23774,84282
24142,84303
24145,84433
25771,84441
25788,84448
25790,84465
25802,84502
25804,84504
25818,84539
25819,84561
25824,84617
25828,84623
25854,84630
25861,84648
25865,84675
25885,84708
25894,84765
25921,84790
25937,84824
25941,84911
25946,84958
25984,84969
26005,85236
26011,85413
26037,85416
26088,85442
26097,85474
26136,85481
26137,85508
26145,89792
26167,89796
26173,89797
26191,89858
26229,89870
26231,89883
26233,89884
26256,90139
26269,90316
26291,90485
26472,90525
26496,90589
26512,90827
26519,90952
26531,91522
26548,91544
26580,91584
26589,91768
26716,91851
26747,92241
26751,92293
26958,93166
27019,94120
27030,94241
27037,113540
27043,114614
27072,114770
27085,114787
27095,114788
27107,114789
27148,114795
27161,114798
27163,114815
27166,114818
27181,115352
27185,115704
27229,116039
27240,116113
27254,116123
27258,116211
27303,116362
27319,116372
27351,116379
27352,116444
28960,116511
28964,116987
28991,117159
28992,117285
29068,117583
29078,117584
29100,118932
29109,120114
29761,120237
29775,121512
29781,121549
29800,123041
29801,123099
29803,123720
29887,124540
29888,124602
29894,126204
29896,126205
29930,126306
29933,126402
29953,126917
29995,127062
30008,127068
50485,127385
50486,127435
50624,127665
50626,127943
50801,128025
50805,128360
50848,128367
50855,128368
50863,128371
50865,128372
50940,128408
51000,128414
51014,128553
51027,128674
51035,129521
51060,129684
51066,130120
51093,130497
51094,131890
51115,132625
51122,132671
51125,133584
51128,133690
51132,134145
51134,134285
51138,134829
51160,135228
51191,135644
51202,137209
51255,137814
51265,137970
51364,138046
51386,139170
51400,140679
51435,140686
51460,140886
51504,144195
51523,145258
51573,145845
51593,146225
51596,146330
51643,146664
51654,146712
51673,146760
51700,147011
51706,147138
51720,147381
51728,147741
51755,147798
51806,147945
53340,147948
53405,148103
53616,148741
53632,149297
53635,150280
53831,150365
53917,150771
53947,151174
54058,151278
54059,151449
54107,151742
54108,152273
54414,152330
54432,153572
54443,159296
54456,160622
54487,160760
54491,161198
54507,162514
54543,162966
54549,163051
54665,163115
54680,163255
54739,163782
54741,164656
54836,165631
54849,166752
54854,167127
54858,167826
54865,169044
54904,170302
54906,170690
54920,170712
54922,171425
54931,196047
54946,196883
54957,200132
54965,200150
54967,200350
54971,200734
55002,200810
55022,201191
55024,201266
55032,202915
55038,204801
55054,206338
55074,219952
55093,219956
55101,219965
55119,219982
55132,220032
55149,220107
55153,220359
55154,221303
55177,221662
55192,221692
55195,221711
55208,221935
55212,221937
55225,222008
55229,222171
55243,222698
55246,222865
55249,222894
55267,223082
55269,245806
55277,245929
55279,246181
55282,253559
55294,254173
55297,256130
55336,256297
55425,256536
55507,256949
55554,257202
55599,257240
55600,266727
55607,266743
55608,283078
55611,284001
55630,284111
55654,284307
55661,284312
55698,284339
55700,284348
55705,284406
55706,284439
55722,285676
55732,285848
55737,285877
55755,285888
55757,286183
55765,286514
55794,286827
55867,317701
55870,326624
55872,337985
55885,338761
55906,338811
55909,338879
55924,338917
55937,339231
55972,339416
56121,339761
56122,339983
56123,340419
56124,340529
56125,340578
56126,340784
56127,342510
56128,342527
56129,342865
56130,342926
56131,343069
56132,343472
56133,344167
56134,344191
56135,344558
56136,344657
56137,344838
56138,345456
56139,345557
56140,353132
56141,353145
56142,374569
56143,374739
56144,374860
56145,375033
56146,375775
56147,376412
56159,378884
56172,387332
56243,387338
56252,387521
56253,387758
56301,388121
56649,388324
56833,388419
56834,388533
56848,388558
56899,388561
56900,388650
56903,388714
56915,389114
56927,389206
56937,389421
56946,389549
56996,389941
56999,390010
57026,390154
57048,390259
57082,390264
57092,390275
57093,390445
57094,390790
57101,390874
57110,391107
57119,391112
57127,391196
57147,391712
57169,392255
57172,393046
57182,399473
57194,399823
57332,400043
57337,400713
57343,400935
57348,401172
57451,401265
57459,401720
57508,401944
57535,405753
57536,406903
57537,406908
57549,406909
57551,406911
57554,406918
57555,406960
57559,406972
57580,406973
57591,406979
57608,406991
57613,407008
57628,407738
57659,431707
57685,440097
57699,440101
57700,440508
57703,441234
57704,441911
57717,442191
57732,442425
57863,442920
58189,493829
58478,494197
58480,548594
58486,574473
58500,574476
58505,574514
59269,613209
59307,643246
59343,643905
59349,644145
59353,644524
60312,645191
60385,645974
60481,646999
60484,650655
60559,653390
60676,654346
63827,692210
63895,692312
63923,724027
63948,727857
63976,730051
64066,730291
64072,767612
64077,100033446
64087,100033803
64092,100033813
64123,100038246
64127,100124700
64172,100126337
64174,100126341
64180,100126342
64224,100126349
64225,100126784
64285,100128239
64320,100129792
64324,100130331
64327,100131187
64333,100131390
64397,100132215
64399,100192386
64411,100288527
64422,100302185
64776,100302265
64779,100506736
64780,
64781,
64834,
64850,
64852,
64895,
64963,
64983,
65057,
65078,
65123,
65217,
65980,
65986,
65999,
79007,
79020,
79031,
79064,
79081,
79087,
79147,
79159,
79174,
79188,
79258,
79334,
79441,
79567,
79581,
79590,
79602,
79618,
79621,
79622,
79640,
79684,
79712,
79725,
79731,
79735,
79754,
79767,
79774,
79796,
79813,
79822,
79829,
79830,
79838,
79842,
79844,
79862,
79864,
79871,
79901,
79966,
79979,
80020,
80036,
80067,
80129,
80162,
80167,
80176,
80177,
80198,
80199,
80206,
80207,
80222,
80230,
80262,
80274,
80319,
80709,
80726,
80746,
80758,
80776,
80778,
80789,
80816,
80817,
81029,
81442,
81488,
81575,
81577,
81607,
81696,
81792,
81797,
81846,
81850,
81851,
81857,
81870,
81871,
81872,
81875,
81888,
81932,
83445,
83449,
83463,
83481,
83482,
83549,
83592,
83659,
83694,
83706,
83707,
83729,
83755,
83881,
83884,
83888,
83895,
83896,
83897,
83899,
83900,
83901,
83902,
83930,
83990,
84000,
84074,
84080,
84108,
84141,
84152,
84153,
84255,
84262,
84271,
84281,
84283,
84299,
84304,
84335,
84417,
84501,
84570,
84616,
84623,
84645,
84651,
84708,
84726,
84727,
84733,
84752,
84798,
84804,
84838,
84875,
84889,
84897,
84898,
84902,
84904,
84905,
84919,
84940,
84950,
84968,
84978,
84984,
84992,
85235,
85236,
85280,
85285,
85289,
85290,
85291,
85293,
85294,
85301,
85377,
85395,
85407,
85415,
85417,
85458,
85464,
89796,
89797,
89848,
89858,
89874,
89886,
90199,
90249,
90268,
90273,
90313,
90423,
90557,
90693,
90952,
90987,
90993,
91056,
91057,
91137,
91252,
91368,
91408,
91442,
91646,
91807,
91869,
91893,
91894,
92342,
92703,
92737,
92797,
92806,
92822,
93183,
93210,
93273,
93377,
93474,
93649,
93650,
93655,
94033,
94059,
94101,
94235,
103910,
112752,
112770,
112802,
112950,
112970,
113146,
113246,
113263,
113622,
113730,
113763,
113802,
114790,
114792,
114795,
114800,
114804,
114823,
114876,
114907,
114960,
114987,
115827,
116085,
116236,
116337,
116372,
116511,
116832,
116966,
118487,
118932,
119548,
120065,
120066,
120146,
121227,
121355,
121391,
122481,
122616,
124044,
124460,
124626,
124930,
124944,
124975,
124976,
125058,
125115,
125488,
125919,
126147,
126204,
126205,
126364,
126637,
126638,
126823,
126961,
126969,
127003,
127281,
127602,
128229,
128239,
128240,
128371,
128372,
128866,
129138,
129303,
129446,
129521,
129787,
129831,
130827,
130888,
130940,
131096,
131118,
131474,
132112,
132228,
132660,
132851,
133482,
133584,
133957,
136259,
137075,
137735,
137886,
137994,
138065,
138240,
138255,
138715,
138716,
139189,
139285,
139411,
140453,
140456,
140458,
140462,
140578,
140625,
140807,
140832,
140870,
142683,
142689,
143379,
143570,
143872,
144193,
144453,
144699,
145389,
145781,
145946,
146206,
146212,
146279,
147040,
147694,
147699,
147700,
147906,
147945,
148170,
148808,
148979,
149345,
149628,
150082,
150084,
150350,
150709,
150737,
150771,
151126,
151473,
151531,
151887,
151888,
152007,
152015,
153218,
153222,
153396,
153478,
154007,
154215,
154661,
155038,
155435,
157310,
157570,
157697,
157724,
158326,
161835,
162282,
162517,
163479,
164045,
164118,
165055,
166785,
168537,
168667,
170384,
170463,
171169,
171389,
171568,
196394,
200014,
200810,
201243,
201633,
202052,
202134,
202309,
202865,
202915,
203054,
203062,
203260,
204801,
219537,
219539,
219790,
219858,
220032,
220108,
221091,
221092,
221264,
221491,
221504,
221527,
221806,
221937,
221938,
222194,
222537,
222894,
246184,
253152,
253190,
253558,
253714,
254013,
254122,
254863,
255104,
256364,
256435,
256471,
257106,
257169,
259197,
259240,
259282,
259307,
260425,
266722,
267020,
283208,
283234,
283237,
283248,
283571,
283820,
283849,
283991,
284111,
284114,
284217,
284306,
284358,
284359,
284611,
284677,
284697,
284948,
285016,
285237,
285613,
285888,
285971,
286053,
286144,
286826,
286887,
317772,
333932,
338322,
338440,
338596,
338707,
339168,
339344,
339345,
339829,
339896,
340061,
340348,
340359,
340371,
340385,
340393,
340481,
340533,
340654,
341277,
341880,
342372,
342527,
342931,
343413,
343450,
344148,
344905,
345456,
346288,
349075,
353189,
353376,
353497,
353514,
374378,
374768,
374907,
375287,
375298,
375387,
375449,
375484,
375612,
375616,
375704,
376132,
387733,
387758,
388272,
388284,
388585,
388630,
388649,
388697,
388849,
388946,
388969,
389072,
389073,
389161,
389170,
389257,
389649,
390093,
390243,
390259,
390275,
390429,
390792,
390980,
391104,
391114,
391123,
399814,
399818,
399823,
399939,
400935,
400954,
401145,
401250,
401258,
401388,
401409,
402569,
402682,
404203,
407977,
408187,
414236,
415116,
440073,
440093,
440275,
440400,
440533,
440574,
440689,
440836,
441027,
441519,
441520,
441521,
441631,
441669,
441670,
442194,
444882,
541465,
541466,
554313,
574016,
574028,
619279,
619373,
641649,
641700,
642446,
642658,
642987,
643314,
643338,
643394,
643414,
643418,
643664,
643707,
644186,
644943,
644974,
646603,
646817,
647174,
647589,
653240,
653319,
653464,
653486,
653604,
653659,
653820,
653857,
692094,
723790,
728224,
728255,
728279,
728318,
728911,
729020,
729384,
729440,
729873,
729966,
729974,
730112,
730755,
751071,
790955,
100049587,
100129480,
100129520,
100129792,
100131187,
100131303,
100132386,
100132476,
100170765,
100287898,
100302736,
100499483,
100505585,
100505724,
100505753,
100506127,
100506136,
100507387,
100507608,
100526773,
100529239,
100532736,
100533177,
100533952,
100652824,
100820829,
100861412,
100996939,
101060200,
101060389,
101805491,
101928718,
101928882,
101929134,
101929777,
102288414,
102723859,
105369230,
105376948,
105377751,
